,Unnamed: 0,page,country,rev_id,score
0,1,Bir I of Kanem,Chad,355319463,Stub
1,10,Information Minister of the Palestinian National Authority,Palestinian Territory,393276188,Stub
2,12,Yos Por,Cambodia,393822005,Stub
3,23,Julius Gregr,Czech Republic,395521877,Stub
4,24,Edvard Gregr,Czech Republic,395526568,Stub
5,25,Robert Douglas Cook,Canada,401577829,Stub
6,44,List of Grand Viziers of Egypt,Egypt,442937236,Stub
7,105,Sehba Musharraf,Pakistan,448555418,Stub
8,111,Butler-Belmont family,United States,470173494,Start
9,114,List of Canadian incumbents by year,Canada,477962574,Stub
10,117,Sheikh Sadiq Ali Ansari,India,492060822,Stub
11,118,Cayetano Pacana,Philippines,492964343,Stub
12,122,Abdullah II of Kanem,Chad,498683267,Stub
13,123,Heard-Hawes family,United States,502721672,C
19,128,List of German politicians,Germany,521986779,Stub
20,145,Raspicious Dzanjalimodzi,Malawi,532253442,Stub
21,205,Manuel Antonio Blas Sáenz,Nicaragua,543225630,Stub
22,210,Béla Vörösmarty,Hungary,545936100,Stub
23,211,Presidents of the General Council of French Guiana,French Guiana,546364151,Start
24,219,Finn Sjue,Norway,549300521,Stub
30,223,Russell family (American political family),United States,550953646,Stub
31,229,Maximo Suniel,Philippines,559553872,Stub
32,230,Mihály Mikes (soldier),Hungary,559788982,Stub
33,238,The Man with the Chocolate Robe,Iran,560758943,Stub
34,245,List of Malta Labour Party leaders,Malta,561744402,Stub
35,259,Marquis of Amboage,Spain,564873005,Stub
36,260,Salmama II of Kanem,Chad,565745353,Stub
37,261,Kuri I of Kanem,Chad,565745365,Stub
38,262,Mohammed I of Kanem,Chad,565745375,Stub
39,265,Timoteo Menéndez,Salvadoran,566504165,Stub
40,271,"List of members of the parliament of Malta, 2008–13",Malta,573710096,B
41,272,Gervas Clay,Rhodesian,574571582,Stub
42,273,Samuel Nii Ayi Mankattah,Ghana,576988466,Stub
43,286,Hemed Khamis,Tanzania,585894477,Stub
44,290,Mavua Mudima,"Congo, Dem. Rep. of",592289232,Stub
45,294,Council of Ministers of Togo,Togo,595693452,Start
46,295,Finance Minister of the Palestinian National Authority,Palestinian Territory,596181202,Start
47,296,Abdullah Al Nuaimi (politician),United Arab Emirates,598819900,Start
48,297,Zhang Zhenzhou,China,601122766,Stub
49,298,Feng Liao,China,601127343,Start
50,308,Wu Shihuo,China,614786300,Start
51,321,Kennedy Kiliku,Kenya,623004627,Stub
52,322,Kamu de Almeida,Angola,623334577,Stub
53,324,Hiša Marije Pomočnice,Slovenia,624468970,Stub
54,325,Đuro Šurmin,Croatia,625509885,Start
55,326,Suishō,Japan,626606789,Stub
56,327,Nikolai Sulima,Russia,627001041,Stub
57,328,Khayelihle Mathaba,South Africa,627051151,Stub
58,329,Vilho Turunen,Finland,627432937,Stub
64,331,Vihtori Aromaa,Finland,628261896,Stub
65,332,Jonathan Wartiovaara,Finland,628268705,Stub
66,333,Arvi Turkka,Finland,628270736,Stub
67,334,Juho Heikkinen,Finland,628312759,Stub
68,335,Emanuel Aromaa,Finland,628379479,Stub
69,336,Jukka Lankila,Finland,628563978,Stub
70,337,Jalmari Malmi,Finland,628619000,Stub
71,338,Viljo Pousi,Finland,628766656,Stub
72,339,Jooseppi Kauranen,Finland,628988952,Stub
73,340,Sardar Aurang Zeb Khan,Pakistan,629562076,Stub
74,341,Jeremiah Kasambala,Tanzania,629818376,Stub
75,342,Sofia Hjulgrén,Finland,630396351,Stub
76,343,Vihtori Viitanen,Finland,630396786,Stub
77,344,Tirso Neri,Philippines,630704768,Stub
78,346,Cleisthenes (son of Sibyrtius),Greece,631437331,Stub
79,347,Demonax (lawmaker),Greece,631581752,Start
80,348,List of 2009 Canadian incumbents,Canada,632008524,Start
81,349,"Zero, None Of The Above",United Kingdom,632261377,Stub
82,350,Johan Franzén (politician),Finland,632447328,Stub
83,352,Planning Minister of the Palestinian National Authority,Palestinian Territory,633612729,Start
84,354,Liu Hongchang,China,634032715,B
85,357,Custos Rotulorum of County Wicklow,Ireland,635240253,Stub
86,358,Custos Rotulorum of County Cork,Ireland,635814126,Stub
92,361,Hegesippus (orator),Greece,637801253,Stub
93,363,Pheroze Sethna,India,638214719,Stub
94,364,Ibrahim Kassas,Tunisia,638362866,Stub
95,365,Dilip Sarkar,India,638377138,Stub
96,366,"List of members of the parliament of East Timor, 2001–07",East Timorese,638566016,Start
97,367,Gatluak Deng Garang,South Sudan,638571205,Stub
98,368,List of members of the National Assembly of Botswana 2009–14,Botswana,638599355,Start
99,369,Aliyu Ibrahim Gebi,Nigeria,639021339,Stub
100,370,Wang Jichang,China,639061161,Start
101,371,Waldemir Moka,Brazil,639471171,Stub
102,372,Custos Rotulorum of County Waterford,Ireland,640014648,Stub
103,373,Lee Ja-kyum,"Korea, South",640214913,Stub
104,374,Wei Huan-zi,China,640826254,Stub
105,375,O'Higgins Pioche,Chile,641422326,Stub
106,381,"List of Captains Regent of San Marino, 1500–1700",San Marino,643410335,Start
107,383,Eiler Grubbe,Denmark,643746000,Stub
108,384,"List of members of the Løgting, 1974–78",Faroese,643932216,Start
109,385,"List of members of the Løgting, 1978–80",Faroese,643932220,Start
110,386,"List of members of the Løgting, 1980–84",Faroese,643932225,Start
111,387,"List of members of the Løgting, 1984–88",Faroese,643932226,Start
112,388,"List of members of the Løgting, 1990–94",Faroese,643932239,Start
113,389,"List of members of the Løgting, 1994–98",Faroese,643932242,Start
114,390,Olli Zitting,Finland,644024203,Stub
115,391,Pierre Philibert de Blancheton,France,644041882,Stub
116,392,Luiza Xhuvani,Albania,644399375,Stub
117,393,Diego de Villalba y Toledo,Spain,645225697,Start
118,394,Jabulani Dube,Zimbabwe,645408814,Stub
119,398,James Bisset (mayor),Cape Colony,647367482,Start
120,399,Ministry of Economy and Finance (Benin),Benin,647450883,Stub
121,400,Gheorghe Barbu,Romania,647483021,Stub
122,403,Pan Yunduan,China,647832959,Stub
123,404,Otto Elfving,Finland,647893858,Stub
124,406,List of Sri Lankan politicians,Sri Lanka,648048611,Stub
125,407,Fathema Ismail,India,648271473,Stub
126,410,Rafael Simancas,Spain,650458255,Stub
127,411,Adela Serra-Ty,Philippines,650462344,Stub
128,414,Muhammad al-Ghafri,Syria,650494773,Stub
129,415,Augustus Joseph Tancred,Cape Colony,651250302,Stub
130,417,Eneida de León,Uruguay,651785828,Stub
131,418,Read family of Delaware,United States,651856758,Stub
132,420,Johan Conrad Silberbauer,Cape Colony,653467222,Stub
133,421,Rossy Barbour,Canada,653527941,Stub
134,422,Reginald Nii Bi Ayibonte,Ghana,653895210,Stub
135,423,Franz Schimmelpfennig von der Ove,Poland,654012510,Stub
136,424,Ville Korhonen (politician),Finland,655031906,Stub
137,425,Onni Hallsten,Finland,655032578,Stub
138,426,Yosia Nadiope of Busoga,Uganda,655390291,Stub
139,427,María del Socorro Bustamante,Colombia,655980284,Stub
140,428,Enrique Pintado,Uruguay,656352211,Stub
141,429,Instructions of the Year XIII,Uruguay,656386131,Stub
142,430,Governor of Gagauzia,Moldova,656737492,Stub
143,431,Neferkheperu-her-sekheper,Egypt,657176628,Start
144,432,Abeifaa Karbo,Ghana,658939122,Stub
145,433,Auguste Louis Antoine Fabre,France,659315526,Stub
146,434,Maksud Ibragimov,Tajikistan,660214915,Start
147,436,Miguel R. Morales,Nicaragua,660579437,Stub
148,437,Aljoša Čampara,Bosnia-Herzegovina,660884852,Start
149,439,Walter Simon (philanthropist),Germany,662681733,Start
150,440,Abu Sayyaf (Jordan),Jordan,662927043,Start
151,441,List of provincial governors of the Democratic Republic of the Congo,"Congo, Dem. Rep. of",663088604,Stub
152,442,Torsten Nielsen,Denmark,663166199,Stub
153,443,"List of members of the National Assembly (South Korea), 1950–54",South Korean,663348266,Stub
154,444,Mufti Abdullah,Pakistan,663572469,Stub
155,445,William Matthew Harries,South Africa,663617582,Stub
156,446,Maanu Paul,New Zealand,663783398,Stub
157,447,County governor (Lithuania),Lithuania,663880497,Stub
158,449,Burhan Muhammad,Indonesia,664532059,Stub
159,450,Martim Afonso de Brito,Portugal,664669156,Stub
160,451,Gonghe Regency,China,664787336,Stub
161,452,Irshadali Sumra,Kenya,664793790,Stub
162,453,Koufu,China,664814622,Stub
163,454,Political families of Odisha,India,664822251,Stub
164,456,Firmin Aerts,Belgium,666029819,Stub
165,457,James Cotterell Hoole,Cape Colony,666596918,Stub
166,458,Philip Johannes Andries Watermeyer,South Africa,666610075,Start
167,459,Ioan Rus,Romania,666752677,Stub
168,465,Pieter Adrianus Ossewaarde,Netherlands,667194771,Stub
169,466,Christoffel van Swoll,Netherlands,667198201,Start
170,467,National Foundation for Women Legislators,United States,667815878,Start
171,468,Les Scheininger,Canada,667821864,C
172,469,Patrick Canning,Canada,667873261,Start
173,470,Kalina Krumova,Bulgaria,667906849,Start
174,471,Pierre Chatenet,France,668091068,Stub
175,472,Henry Soum,Monaco,668095014,Stub
176,473,Brij Bhushan Mehra,India,668258382,Stub
177,474,Aurelian Pavelescu,Romania,668449610,Stub
178,480,Madut Kon Awan,South Sudan,668830946,Stub
179,497,Taieb Ghafes,Morocco,669266906,Stub
180,498,Teodor Andrault de Langeron,Poland,669301445,Stub
181,499,Harry Davies (politician),Rhodesian,669387487,Start
182,500,Ghassan Ashqar,Lebanon,669444168,Stub
183,501,Magnús Orri Schram,Iceland,669565720,Stub
184,502,Wusu Sannoh,Sierra Leone,669571173,Stub
185,503,Kuri II of Kanem,Chad,669719757,Stub
186,504,Laroussi Mizouri,Tunisia,669831602,Stub
187,505,Hashid Abdullah al-Ahmar,Yemen,669833212,Stub
188,506,Erkin Alymbekov,Kyrgyzstan,669833349,Stub
189,507,Angelo Staniscia,Italy,669835390,Stub
190,508,Malik Adnan Hayat Noon,Pakistan,669841183,Stub
191,509,Samou Seidou Adambi,Benin,669855022,Stub
192,510,Porfirio Smerdou,Mexico,669862709,Stub
193,511,Lise Nordin,Sweden,669869895,Stub
194,512,Fletcher Dulini,Zimbabwe,669981316,Stub
195,513,Krzysztof Abrahamowicz,Poland,669985109,Stub
200,515,Horace Mann Thu-Jaune,Madagascar,670134982,Stub
201,516,Patrick Goold,Cape Colony,670210734,Start
202,517,Murad Quenili,Afghanistan,670462475,Stub
203,519,Bir II of Kanem,Chad,670893206,Stub
204,520,Gerald Hill (politician),Canada,670917017,Stub
205,521,List of Presidents of Alsace,France,670960027,Stub
206,522,John R. O'Dea,Canada,670971940,Stub
