,country,region,regional_population
0,WORLD,,7772850000
1,AFRICA,AFRICA,1337918000
2,NORTHERN AFRICA,NORTHERN AFRICA,244344000
3,Algeria,NORTHERN AFRICA,44357000
4,Egypt,NORTHERN AFRICA,100803000
5,Libya,NORTHERN AFRICA,6891000
6,Morocco,NORTHERN AFRICA,35952000
7,Sudan,NORTHERN AFRICA,43849000
8,Tunisia,NORTHERN AFRICA,11896000
9,Western Sahara,NORTHERN AFRICA,597000
10,WESTERN AFRICA,WESTERN AFRICA,401115000
11,Benin,WESTERN AFRICA,12209000
12,Burkina Faso,WESTERN AFRICA,20903000
13,Cape Verde,WESTERN AFRICA,556000
14,Cote d'Ivoire,WESTERN AFRICA,26175000
15,Gambia,WESTERN AFRICA,2417000
16,Ghana,WESTERN AFRICA,31073000
17,Guinea,WESTERN AFRICA,12560000
18,Guinea-Bissau,WESTERN AFRICA,1927000
19,Liberia,WESTERN AFRICA,5058000
20,Mali,WESTERN AFRICA,20251000
21,Mauritania,WESTERN AFRICA,4650000
22,Niger,WESTERN AFRICA,24189000
23,Nigeria,WESTERN AFRICA,206140000
24,Senegal,WESTERN AFRICA,16744000
25,Sierra Leone,WESTERN AFRICA,7977000
26,Togo,WESTERN AFRICA,8279000
27,EASTERN AFRICA,EASTERN AFRICA,444970000
28,Burundi,EASTERN AFRICA,11866000
29,Comoros,EASTERN AFRICA,870000
30,Djibouti,EASTERN AFRICA,988000
31,Eritrea,EASTERN AFRICA,3546000
32,Ethiopia,EASTERN AFRICA,114916000
33,Kenya,EASTERN AFRICA,53528000
34,Madagascar,EASTERN AFRICA,27691000
35,Malawi,EASTERN AFRICA,19130000
36,Mauritius,EASTERN AFRICA,1265000
37,Mayotte,EASTERN AFRICA,284000
38,Mozambique,EASTERN AFRICA,31166000
39,Reunion,EASTERN AFRICA,861000
40,Rwanda,EASTERN AFRICA,12952000
41,Seychelles,EASTERN AFRICA,98000
42,Somalia,EASTERN AFRICA,15893000
43,South Sudan,EASTERN AFRICA,11194000
44,Tanzania,EASTERN AFRICA,59734000
45,Uganda,EASTERN AFRICA,45741000
46,Zambia,EASTERN AFRICA,18384000
47,Zimbabwe,EASTERN AFRICA,14863000
48,MIDDLE AFRICA,MIDDLE AFRICA,179757000
49,Angola,MIDDLE AFRICA,32522000
50,Cameroon,MIDDLE AFRICA,26598000
51,Central African Republic,MIDDLE AFRICA,4830000
52,Chad,MIDDLE AFRICA,16877000
53,Congo,MIDDLE AFRICA,5518000
54,"Congo, Dem. Rep.",MIDDLE AFRICA,89568000
