,rev_id,score
0,722140631,Start
1,723783455,Stub
2,724166065,Stub
3,724564986,Stub
4,724610329,Stub
5,724612345,Stub
6,725102821,Stub
7,725102836,Stub
8,725108597,Stub
9,725534989,Stub
10,726623435,Stub
11,726678926,C
12,730649935,Stub
13,732219593,Stub
14,732712623,Start
15,732879377,Stub
16,737833181,Stub
17,739456701,Stub
18,742088280,Stub
19,742940328,Stub
20,744027147,Start
21,744260859,Start
22,744279179,Stub
23,744322470,Stub
24,744684290,Stub
25,746330939,Stub
26,747256516,Start
27,747468299,Stub
28,747921070,Stub
29,748076888,Start
30,748409196,Start
31,749237949,Stub
32,749298143,Start
33,751399111,Start
34,752766755,Stub
35,753429627,Stub
36,754446870,Stub
37,756323400,Stub
38,757540278,Start
39,757618465,Stub
40,758415814,Stub
41,760214700,Start
42,763925886,Stub
43,764349408,Stub
44,764909817,Start
45,764911200,
46,765199255,Stub
47,765224328,Stub
48,765224346,Stub
