,rev_id,score
0,638362866,Stub
1,669831602,Stub
2,686050095,Stub
3,695405443,Stub
4,699363937,Stub
5,713468262,Stub
6,714677667,Start
7,715165937,Stub
8,716418686,Stub
9,717658717,Start
10,718669485,Start
11,719457967,Start
12,719554115,Stub
13,719554145,Stub
14,719557843,Stub
15,719624802,Stub
16,719625016,Stub
17,719629416,Stub
18,719629530,Stub
19,719644426,Stub
20,719977822,B
21,720755350,Stub
22,722920330,Stub
23,734611180,Start
24,741240587,Stub
25,741472523,Stub
26,741472558,Stub
27,742538872,Stub
28,744534088,C
29,747397291,Stub
30,748954048,Start
31,749002901,Stub
32,749306712,Stub
33,749359904,Stub
34,749360791,Stub
35,749387503,Stub
36,749392201,Stub
37,807219848,Start
38,807224317,C
39,807235511,FA
40,807252933,FA
41,807289965,C
42,807385690,Start
43,807423724,FA
44,807425653,C
45,807434267,GA
46,807442187,GA
47,807444138,C
48,807458452,GA
